protein,S1_Ion_126.128,S1_Ion_127.125,S1_Ion_127.131,S1_Ion_128.128,S1_Ion_128.134,S1_Ion_129.131,S1_Ion_129.138,S1_Ion_130.135,S1_Ion_130.141,S1_Ion_131.138,S2_Ion_126.128,S2_Ion_127.125,S2_Ion_127.131,S2_Ion_128.128,S2_Ion_128.134,S2_Ion_129.131,S2_Ion_129.138,S2_Ion_130.135,S2_Ion_130.141,S2_Ion_131.138,S2_Ion_131.144
sp|A6NJ46|NKX63_HUMAN,0.382217979,0.34881121,0.233573763,0.136290875,0.330938001,-0.387771534,-0.63739309,-0.365781486,-0.057727728,0.01684201,0.124941431,0.144059451,-0.016170897,-0.412463922,-0.379160173,-0.604209318,0.184577917,0.290955683,0.294325866,0.286705276,0.086438686
sp|A6NJ78|MET15_HUMAN,0.051861176,-0.033773121,-0.094847884,-0.193151092,0.010548517,-0.057756165,-0.235294905,-0.167390449,0.13667089,0.583133032,-0.003711525,0.023257729,-0.10171872,-0.085138463,0.008981756,-0.099733527,-0.000551332,0.073755148,0.053241158,0.239556314,-0.107938538
sp|A6NK44|GLOD5_HUMAN,0.068616751,0.029988851,-0.065059228,-0.06900947,0.066880882,0.141793733,-0.269233781,-0.002107743,0.003901881,0.094228123,0.007954257,-0.01816353,-0.220208537,-0.126969969,0.11327477,-0.231614607,0.376028374,0.00565823,0.07932476,0.087619721,-0.072903469
sp|A6NK58|LIPT2_HUMAN,0.146064847,0.06362098,-0.099331274,-0.214313231,0.023150214,-0.048207891,-0.216948493,-0.166547913,0.28727421,0.225238551,0.077850671,0.039202218,-0.062641699,-0.009561531,0.018787622,-0.321453931,0.011280676,0.083565028,0.160357958,0.077338638,-0.074725652
sp|A6NKD9|CC85C_HUMAN,0.196382055,0.365277822,0.090791291,0.201452427,0.207705217,-0.289927481,-0.520774596,-0.375428735,0.025833859,0.098688141,0.219039905,0.050195508,0.049169705,-0.258375053,-0.097722979,-0.392322175,-0.13577101,0.192318153,0.241629181,0.239256294,-0.107417531
sp|A6NKF1|SAC31_HUMAN,-0.032169347,0.09780364,-0.08157167,-0.158031308,0.0479023,-0.025353426,-0.266037874,-0.068632218,0.241462946,0.244626958,0.015222485,-0.000692183,-0.13926134,-0.215239065,-0.122718137,-0.328652285,0.173799343,0.32886777,0.048305823,0.346176149,-0.105808559
sp|A6NKN8|PC4L1_HUMAN,0.131548972,0.094988642,-0.017762268,-0.114963674,-0.159906242,-0.043595346,-0.273752947,-0.218143883,0.282941897,0.318644849,0.156900568,-0.018855515,0.17070704,-0.109949108,-0.078336621,-0.170750807,-0.296030825,0.110488345,0.234506032,0.165507813,-0.164186922
sp|A6NKQ9|CGB1_HUMAN,0.499170313,0.344936181,0.091660003,-0.231762157,0.112156363,-0.182901073,-0.806330199,-0.160030897,0.209878625,0.12322284,0.26572033,0.341494127,0.155884167,-0.357087017,-0.091942285,-0.346181172,-0.53732679,0.103937082,0.236731843,0.37372623,-0.144956516
sp|A6NKT7|RGPD3_HUMAN,0.085060434,0.211219257,0.098404756,-0.133481372,-0.01665867,-0.102664154,-0.314522801,-0.172743671,0.175610898,0.169775322,0.058035973,0.053890049,-0.025621528,-0.111053397,0.026552288,-0.252743693,-0.012481617,0.143076702,-0.059112528,0.262399469,-0.082941719
sp|A6NKW6|SHL2B_HUMAN,0.114940206,0.43354862,-0.05113233,0.119948624,0.169906768,-0.072058343,-0.583472361,-0.293958992,0.10953388,0.052743928,-0.111854342,0.490017888,-0.2747908,-0.237658237,0.021114021,-0.17156688,-0.071180887,0.152113116,-0.268117681,0.308940106,0.162983695
